epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8911,0.67469,0.91356,3.65383,0.00233,7.13104,0.35516,0.51419,0.41342,0.37503,0.35516,0.51419,0.41343,0.37462,0.44839,0.48846,1.52682,0.00193,0,0.000183568,0.000183568,0.000183568
2,75.4304,0.61621,0.60931,1.8813,0.00211,3.98447,0.36878,0.76666,0.44388,0.39789,0.369,0.77087,0.44441,0.3865,0.5015,0.48296,1.45627,0.00225,0,0.000366467,0.000366467,0.000366467
3,105.361,0.64766,0.5873,1.4265,0.00226,3.13273,0.45968,0.78773,0.52495,0.48263,0.45968,0.78773,0.52504,0.46289,0.41653,0.52944,1.041,0.00176,0,0.000546919,0.000546919,0.000546919
4,135.188,0.5833,0.56374,1.18413,0.00195,2.60741,0.4769,0.8864,0.49944,0.45612,0.47619,0.88508,0.49844,0.44318,0.44763,0.46258,0.91868,0.00192,0,0.000544991,0.000544991,0.000544991
5,164.357,0.58415,0.54052,1.08686,0.0019,2.26431,0.47713,0.90057,0.50399,0.46014,0.47669,0.89835,0.50361,0.44447,0.45071,0.47121,0.91648,0.00195,0,0.000541322,0.000541322,0.000541322
6,193.711,0.56837,0.52993,1.05089,0.00185,1.81403,0.4653,0.92821,0.54909,0.50263,0.46657,0.93082,0.55085,0.48964,0.42835,0.4885,0.88505,0.00186,0,0.000537652,0.000537652,0.000537652
7,223.31,0.57824,0.56203,1.02387,0.00196,1.25835,0.46676,0.91267,0.51953,0.47877,0.46676,0.91267,0.51948,0.45708,0.42321,0.54201,0.93123,0.0018,0,0.000533982,0.000533982,0.000533982
8,252.107,0.56327,0.52681,0.98826,0.0019,0.88656,0.47593,0.8839,0.50816,0.47451,0.47531,0.88386,0.5073,0.45462,0.3881,0.42446,0.9076,0.00168,0,0.000530313,0.000530313,0.000530313
9,281.064,0.53542,0.53556,0.96019,0.00183,0.7086,0.48257,0.92728,0.49757,0.44373,0.48257,0.92728,0.49757,0.43985,0.52537,0.40575,0.90736,0.0022,0,0.000526643,0.000526643,0.000526643
10,310.44,0.55606,0.5508,0.97028,0.00184,0.68102,0.50369,0.89765,0.5936,0.55422,0.50369,0.89765,0.59364,0.52895,0.39064,0.46651,0.86672,0.00164,0,0.000522974,0.000522974,0.000522974
11,339.811,0.5299,0.49855,0.94354,0.00175,0.66729,0.49119,0.90846,0.65357,0.60698,0.49119,0.90846,0.65357,0.57806,0.39869,0.45188,0.81399,0.00167,0,0.000519304,0.000519304,0.000519304
12,369.305,0.5247,0.49628,0.93583,0.00174,0.67516,0.48121,0.94588,0.57234,0.53621,0.48121,0.94588,0.57246,0.51633,0.38296,0.4165,0.82407,0.00162,0,0.000515634,0.000515634,0.000515634
13,398.252,0.53472,0.50796,0.918,0.00177,0.66938,0.539,0.87014,0.64561,0.61191,0.539,0.87014,0.64561,0.59029,0.35668,0.40594,0.80473,0.00149,0,0.000511965,0.000511965,0.000511965
14,427.911,0.51982,0.48555,0.89063,0.00173,0.64145,0.47308,0.9319,0.49013,0.45499,0.47308,0.9319,0.49034,0.4324,0.39182,0.47114,0.91104,0.00165,0,0.000508295,0.000508295,0.000508295
15,457.013,0.49404,0.46511,0.82102,0.00166,0.64332,0.59702,0.86533,0.73056,0.68267,0.59702,0.86533,0.73042,0.65566,0.38491,0.42749,0.68774,0.00159,0,0.000504626,0.000504626,0.000504626
16,486.357,0.50012,0.50491,0.72635,0.00165,0.57943,0.71795,0.84635,0.85458,0.7982,0.71795,0.84635,0.85445,0.77502,0.38527,0.40413,0.58791,0.00161,0,0.000500956,0.000500956,0.000500956
17,515.794,0.48608,0.46217,0.67272,0.00162,0.4738,0.72769,0.9079,0.90704,0.85001,0.72769,0.9079,0.90676,0.82582,0.3775,0.38461,0.50352,0.0016,0,0.000497286,0.000497286,0.000497286
