epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,144.342,0.28761,0.2883,0.22521,0.00131,0.08769,0.78945,0.94312,0.94306,0.90316,0.79006,0.94473,0.94386,0.88228,0.34021,0.34602,0.42491,0.00149,0,0.000499206,0.000499206,0.000499206
2,274.94,0.30423,0.29363,0.22609,0.00137,0.09727,0.88954,0.88864,0.95047,0.91265,0.89096,0.88967,0.95237,0.89261,0.33135,0.34349,0.3824,0.00145,0,0.000499827,0.000499827,0.000499827
3,404.833,0.29961,0.30473,0.28727,0.00135,0.14094,0.72881,0.93683,0.91202,0.8759,0.72881,0.93683,0.91202,0.85293,0.32503,0.36146,0.51205,0.00139,0,0.000499306,0.000499306,0.000499306
4,539.647,0.30058,0.29449,0.28294,0.00135,0.15242,0.77434,0.89398,0.91539,0.88108,0.77434,0.89398,0.91565,0.86218,0.30966,0.35271,0.4942,0.00131,0,0.00049844,0.00049844,0.00049844
5,672.675,0.30237,0.30644,0.31054,0.00137,0.17073,0.80837,0.84953,0.92312,0.8821,0.80837,0.84953,0.92366,0.86954,0.33057,0.33803,0.47004,0.0014,0,0.00049723,0.00049723,0.00049723
6,804.752,0.2983,0.29977,0.25753,0.00134,0.1269,0.87894,0.85532,0.9429,0.91004,0.87894,0.85532,0.94307,0.88567,0.3204,0.35518,0.42624,0.00135,0,0.000495677,0.000495677,0.000495677
7,935.154,0.29489,0.30063,0.27155,0.00133,0.13982,0.76571,0.87676,0.90846,0.8722,0.76571,0.87676,0.90921,0.84447,0.33009,0.34593,0.54495,0.00138,0,0.000493783,0.000493783,0.000493783
8,1038.55,0.28531,0.29097,0.23804,0.00127,0.10994,0.82778,0.87067,0.93842,0.90221,0.82778,0.87067,0.93842,0.86566,0.32192,0.34453,0.44043,0.00137,0,0.000491552,0.000491552,0.000491552
9,1143.88,0.30837,0.30039,0.2503,0.00139,0.13703,0.87608,0.87685,0.9461,0.90993,0.87608,0.87685,0.9455,0.8793,0.31153,0.33761,0.41584,0.00131,0,0.000488988,0.000488988,0.000488988
10,1220.63,0.30775,0.29907,0.30303,0.00138,0.15845,0.81301,0.84894,0.92013,0.88853,0.81301,0.84894,0.92017,0.8533,0.30587,0.34702,0.51295,0.00128,0,0.000486093,0.000486093,0.000486093
11,1292.16,0.29616,0.29301,0.26544,0.00132,0.14177,0.85595,0.84773,0.93669,0.90347,0.85445,0.84641,0.9353,0.86843,0.3227,0.34591,0.41512,0.00136,0,0.000482873,0.000482873,0.000482873
