epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,136.712,0.30154,0.32633,0.23492,0.00133,0.12072,0.76154,0.91075,0.92799,0.89159,0.76154,0.91075,0.92867,0.8839,0.33891,0.36516,0.4613,0.00146,0,0.000499206,0.000499206,0.000499206
2,263.967,0.32074,0.32207,0.26902,0.00141,0.14849,0.81719,0.85625,0.92917,0.90199,0.81719,0.85625,0.92919,0.88508,0.29508,0.35494,0.46671,0.00121,0,0.000499556,0.000499556,0.000499556
3,388.029,0.31871,0.3112,0.29127,0.00137,0.14833,0.71565,0.90457,0.89847,0.86599,0.71565,0.90457,0.89786,0.85336,0.33705,0.35756,0.57848,0.00145,0,0.000498226,0.000498226,0.000498226
4,515.47,0.3083,0.30299,0.28525,0.00138,0.15588,0.70145,0.92187,0.89796,0.8572,0.70145,0.92187,0.89799,0.85442,0.33701,0.36711,0.55365,0.00142,0,0.000496015,0.000496015,0.000496015
5,642.686,0.30971,0.30222,0.26002,0.00136,0.12928,0.82733,0.90668,0.93453,0.90487,0.82733,0.90668,0.93453,0.88801,0.32114,0.34692,0.44938,0.00137,0,0.000492931,0.000492931,0.000492931
6,770.335,0.3157,0.30633,0.27495,0.00136,0.13787,0.86214,0.84025,0.93738,0.9038,0.86214,0.84025,0.93738,0.88239,0.32112,0.32841,0.4042,0.00135,0,0.000488988,0.000488988,0.000488988
7,882.687,0.30726,0.30005,0.29571,0.00133,0.16715,0.87251,0.89338,0.95291,0.92598,0.87251,0.89338,0.95291,0.90762,0.29545,0.33081,0.3649,0.00122,0,0.0004842,0.0004842,0.0004842
8,1009.76,0.29383,0.29834,0.25859,0.00128,0.12944,0.86351,0.83178,0.94714,0.91468,0.86351,0.83178,0.94752,0.89936,0.31378,0.342,0.48922,0.00131,0,0.000478586,0.000478586,0.000478586
9,1136.23,0.30713,0.31494,0.29996,0.0013,0.14562,0.86482,0.87377,0.94018,0.90804,0.86482,0.87377,0.94018,0.89974,0.31035,0.34756,0.42316,0.00129,0,0.000472169,0.000472169,0.000472169
10,1263.36,0.29554,0.29618,0.25838,0.00126,0.11458,0.86113,0.88538,0.94958,0.91928,0.86113,0.88538,0.94958,0.90269,0.30869,0.32655,0.39095,0.0013,0,0.000464974,0.000464974,0.000464974
11,1390.04,0.2885,0.29064,0.23826,0.00124,0.1113,0.92709,0.90318,0.97437,0.94371,0.92709,0.90318,0.97504,0.9306,0.29401,0.32072,0.31162,0.0012,0,0.000457029,0.000457029,0.000457029
12,1518.16,0.30025,0.29398,0.24355,0.00127,0.11151,0.81553,0.85911,0.93344,0.90082,0.81684,0.86043,0.93528,0.8893,0.30475,0.32921,0.45325,0.00125,0,0.000448365,0.000448365,0.000448365
13,1647.05,0.29943,0.28916,0.24334,0.00128,0.10465,0.89152,0.89082,0.96411,0.92118,0.89152,0.89082,0.96445,0.92079,0.33671,0.32302,0.34413,0.0014,0,0.000439018,0.000439018,0.000439018
14,1781.42,0.30884,0.28963,0.2436,0.00132,0.10218,0.82928,0.85732,0.92683,0.8977,0.82928,0.85732,0.92683,0.88503,0.30997,0.33758,0.46542,0.00129,0,0.000429023,0.000429023,0.000429023
15,1912.38,0.29366,0.28448,0.22101,0.00126,0.10687,0.8711,0.88109,0.95301,0.92221,0.8711,0.88109,0.95373,0.91305,0.32411,0.32937,0.3941,0.00139,0,0.00041842,0.00041842,0.00041842
16,2041.11,0.29276,0.27754,0.19605,0.00127,0.08156,0.88383,0.89567,0.95546,0.92855,0.88383,0.89567,0.95604,0.91519,0.30117,0.32439,0.36723,0.00126,0,0.000407252,0.000407252,0.000407252
17,2165.24,0.30482,0.29854,0.27719,0.00128,0.13478,0.881,0.91691,0.96593,0.92988,0.881,0.91691,0.96672,0.91507,0.31441,0.32599,0.31168,0.00128,0,0.000395561,0.000395561,0.000395561
18,2293.92,0.29786,0.28888,0.22809,0.00126,0.1064,0.83011,0.91092,0.94159,0.90983,0.83122,0.9122,0.94395,0.89921,0.31286,0.3307,0.42815,0.00129,0,0.000383395,0.000383395,0.000383395
19,2421.36,0.2852,0.2802,0.20866,0.00121,0.0903,0.83083,0.8937,0.93378,0.903,0.83083,0.8937,0.93497,0.88912,0.2976,0.32392,0.4411,0.00122,0,0.0003708,0.0003708,0.0003708
20,2547.99,0.28298,0.2809,0.1882,0.00122,0.081,0.83743,0.91331,0.94717,0.92136,0.83743,0.91331,0.94721,0.90942,0.29088,0.31913,0.40439,0.0012,0,0.000357828,0.000357828,0.000357828
21,2675.52,0.27867,0.27184,0.18154,0.00118,0.07108,0.89305,0.8951,0.9589,0.92988,0.89305,0.8951,0.95949,0.9138,0.31732,0.3416,0.36957,0.00131,0,0.000344529,0.000344529,0.000344529
22,2805.19,0.27791,0.26564,0.15806,0.00119,0.0562,0.93354,0.90345,0.97495,0.94319,0.93354,0.90345,0.97551,0.92858,0.29516,0.31461,0.29044,0.0012,0,0.000330955,0.000330955,0.000330955
23,2938.06,0.28105,0.272,0.1766,0.00118,0.07135,0.88362,0.88626,0.95416,0.9232,0.88362,0.88626,0.95435,0.90566,0.3101,0.34658,0.39651,0.00129,0,0.000317161,0.000317161,0.000317161
24,3071.22,0.27022,0.26941,0.17044,0.00117,0.06378,0.83697,0.86942,0.93749,0.91265,0.83697,0.86942,0.93758,0.89454,0.28725,0.3413,0.47423,0.0012,0,0.0003032,0.0003032,0.0003032
25,3204.05,0.27203,0.26903,0.18188,0.00117,0.07279,0.89462,0.88388,0.95134,0.92267,0.89462,0.88388,0.95218,0.9136,0.30082,0.33323,0.39294,0.00126,0,0.000289128,0.000289128,0.000289128
26,3336.87,0.26764,0.26384,0.1446,0.00114,0.05055,0.78703,0.8695,0.89316,0.86979,0.78703,0.8695,0.8933,0.85316,0.2824,0.34366,0.57356,0.00116,0,0.000275,0.000275,0.000275
