model,class_id,class_name,box_map50,mask_map50,mask_map50_delta_from_v7,mask_map50_improved
v7_zero_shot,0,R1,0.000000,0.000000,0.000000,False
v7_zero_shot,1,R2,0.000000,0.000000,0.000000,False
v7_zero_shot,2,R3,0.000000,0.000000,0.000000,False
v7_zero_shot,7,L1,0.138500,0.000000,0.000000,False
v7_zero_shot,8,L2,0.000000,0.000000,0.000000,False
v7_zero_shot,9,L3,0.000000,0.000000,0.000000,False
v8_real_finetune_r2,0,R1,0.269283,0.266687,0.266687,True
v8_real_finetune_r2,1,R2,0.112325,0.124198,0.124198,True
v8_real_finetune_r2,2,R3,0.027886,0.021668,0.021668,True
v8_real_finetune_r2,7,L1,0.161640,0.161640,0.161640,True
v8_real_finetune_r2,8,L2,0.091875,0.077047,0.077047,True
v8_real_finetune_r2,9,L3,0.025643,0.007948,0.007948,True
v8_real_finetune_unfrozen_r2,0,R1,0.153942,0.153942,0.153942,True
v8_real_finetune_unfrozen_r2,1,R2,0.152155,0.152155,0.152155,True
v8_real_finetune_unfrozen_r2,2,R3,0.122802,0.112602,0.112602,True
v8_real_finetune_unfrozen_r2,7,L1,0.362706,0.362706,0.362706,True
v8_real_finetune_unfrozen_r2,8,L2,0.103051,0.160551,0.160551,True
v8_real_finetune_unfrozen_r2,9,L3,0.145278,0.031111,0.031111,True
