epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1012,1.1533,1.63845,3.88847,0.00309,7.91428,0.208,0.42519,0.14793,0.12789,0.21219,0.42755,0.14835,0.11818,0.75024,1.10952,2.88129,0.00226,0,0.0001807,0.0001807,0.0001807
2,64.0371,0.96305,1.06097,2.21561,0.00235,4.65604,0.29885,0.61651,0.33247,0.27194,0.29954,0.6111,0.32831,0.24312,0.80023,1.07258,1.5746,0.00232,0,0.000363618,0.000363618,0.000363618
3,84.9376,0.95615,1.05858,1.69094,0.00231,3.33839,0.31444,0.69141,0.34495,0.27994,0.31062,0.68626,0.33557,0.24507,0.78592,1.08465,1.4939,0.00233,0,0.000544089,0.000544089,0.000544089
4,105.69,0.97089,1.02484,1.4889,0.00233,2.688,0.3824,0.70829,0.41029,0.32507,0.37064,0.70136,0.39858,0.29048,0.82255,1.03569,1.37325,0.00237,0,0.000544991,0.000544991,0.000544991
5,126.372,0.93216,0.95574,1.37631,0.00219,2.26672,0.42122,0.75051,0.45882,0.37406,0.41645,0.73738,0.45255,0.33174,0.75547,0.96679,1.19269,0.00213,0,0.000541322,0.000541322,0.000541322
6,147.596,0.91355,0.94035,1.28805,0.00217,1.91788,0.44038,0.77383,0.52996,0.40878,0.43279,0.76283,0.5195,0.36856,0.90612,1.03236,1.12483,0.00259,0,0.000537652,0.000537652,0.000537652
7,168.469,0.92774,0.9379,1.23119,0.00223,1.7273,0.46002,0.79676,0.51179,0.42488,0.45568,0.787,0.50617,0.3766,0.71225,0.86678,1.05462,0.00202,0,0.000533982,0.000533982,0.000533982
8,189.396,0.89988,0.90029,1.19897,0.00215,1.66586,0.43075,0.77942,0.46759,0.37337,0.42772,0.77076,0.461,0.32407,0.83808,0.99623,1.13325,0.00239,0,0.000530313,0.000530313,0.000530313
9,209.86,0.87225,0.87798,1.15967,0.00218,1.63077,0.45273,0.81357,0.48081,0.3777,0.44674,0.79848,0.4672,0.33373,0.8414,0.95909,1.08643,0.00239,0,0.000526643,0.000526643,0.000526643
10,230.522,0.90571,0.86862,1.15188,0.00212,1.62258,0.45654,0.83092,0.56411,0.47161,0.44655,0.82333,0.55319,0.41452,0.70012,0.83119,1.01163,0.00197,0,0.000522974,0.000522974,0.000522974
11,251.42,0.88407,0.84925,1.1048,0.00213,1.57933,0.49066,0.8286,0.57163,0.4649,0.4848,0.81119,0.55935,0.40493,0.79001,0.9088,1.00689,0.00226,0,0.000519304,0.000519304,0.000519304
